candidate_id,passed,known_interface_seed_worst_gain,failed_checks_json
quadratic_data__mean_estimated__structured_flowoff__l0p01,False,-0.40110349644324833,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_estimated__structured_flowoff__l0p1,False,-0.2671394046465552,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_estimated__unwhitened__l0,False,-0.2054657281758341,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_estimated__unwhitened__l0p001,False,-0.08439188891385847,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_estimated__unwhitened__l0p01,False,-0.07719312747824547,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_estimated__unwhitened__l0p1,False,-0.010782950447520204,"[""nominal_harm_rate"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__diagonal_flowoff__l0,False,-0.6687929934438728,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__diagonal_flowoff__l0p001,False,-0.6750697321381719,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__diagonal_flowoff__l0p01,False,-0.652832461083301,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__diagonal_flowoff__l0p1,False,-0.47312445298850814,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__isotropic_flowoff__l0,False,-0.6262775822641302,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__isotropic_flowoff__l0p001,False,-0.6327089345329197,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__isotropic_flowoff__l0p01,False,-0.6110581129432696,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__isotropic_flowoff__l0p1,False,-0.4373530739740147,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__structured_flowoff__l0,False,-0.4350584501155712,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__structured_flowoff__l0p001,False,-0.42913998280502313,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__structured_flowoff__l0p01,False,-0.41203237277854815,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__structured_flowoff__l0p1,False,-0.27814219092223513,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__unwhitened__l0,False,-0.21502058978438107,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__unwhitened__l0p001,False,-0.08685665759666984,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__unwhitened__l0p01,False,-0.0796461652111036,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_zero__unwhitened__l0p1,False,-0.012276804187565608,"[""nominal_harm_rate"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__diagonal_flowoff__d0p75__l0,False,-0.7434703157039806,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__diagonal_flowoff__d0p75__l0p001,False,-0.7398649399219849,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__diagonal_flowoff__d0p75__l0p01,False,-0.7166980139324516,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__diagonal_flowoff__d0p75__l0p1,False,-0.5289963732311305,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__diagonal_flowoff__d1p345__l0,False,-0.7338546569521297,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__diagonal_flowoff__d1p345__l0p001,False,-0.730079983008196,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__diagonal_flowoff__d1p345__l0p01,False,-0.7068942300318309,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__diagonal_flowoff__d1p345__l0p1,False,-0.5194267395113674,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__diagonal_flowoff__d2__l0,False,-0.7235247761581484,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__diagonal_flowoff__d2__l0p001,False,-0.7195669074147901,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__diagonal_flowoff__d2__l0p01,False,-0.6963601044103574,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__diagonal_flowoff__d2__l0p1,False,-0.5091461326534953,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__isotropic_flowoff__d0p75__l0,False,-0.6907913908501027,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__isotropic_flowoff__d0p75__l0p001,False,-0.6871965222799091,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__isotropic_flowoff__d0p75__l0p01,False,-0.6645850527925964,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__isotropic_flowoff__d0p75__l0p1,False,-0.48313949925110533,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__isotropic_flowoff__d1p345__l0,False,-0.6821481498605776,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__isotropic_flowoff__d1p345__l0p001,False,-0.678523738861718,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__isotropic_flowoff__d1p345__l0p01,False,-0.6558947923844981,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__isotropic_flowoff__d1p345__l0p1,False,-0.47463323491596154,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__isotropic_flowoff__d2__l0,False,-0.6728640758534613,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__isotropic_flowoff__d2__l0p001,False,-0.6692055556236942,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__isotropic_flowoff__d2__l0p01,False,-0.6465567286447937,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__isotropic_flowoff__d2__l0p1,False,-0.4654924242729544,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__structured_flowoff__d0p75__l0,False,-0.420313630020427,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__structured_flowoff__d0p75__l0p001,False,-0.4134508882486422,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__structured_flowoff__d0p75__l0p01,False,-0.3952611559659998,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__structured_flowoff__d0p75__l0p1,False,-0.2533549449609554,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__structured_flowoff__d1p345__l0,False,-0.4151494299772713,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__structured_flowoff__d1p345__l0p001,False,-0.40835182850472257,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__structured_flowoff__d1p345__l0p01,False,-0.39013945191987676,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__structured_flowoff__d1p345__l0p1,False,-0.248249222256432,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__structured_flowoff__d2__l0,False,-0.409609346487175,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__structured_flowoff__d2__l0p001,False,-0.40288360709744864,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__structured_flowoff__d2__l0p01,False,-0.3846466190236771,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__structured_flowoff__d2__l0p1,False,-0.24277539338273657,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__unwhitened__d0p75__l0,False,-0.6907349936578969,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__unwhitened__d0p75__l0p001,False,-0.35148073846843436,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__unwhitened__d0p75__l0p01,False,-0.34454471988854923,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__unwhitened__d0p75__l0p1,False,-0.27819673507282744,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__unwhitened__d1p345__l0,False,-0.6820493990453516,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__unwhitened__d1p345__l0p001,False,-0.34352930567795936,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
robust_data__mean_estimated__unwhitened__d1p345__l0p01,False,-0.33657064634701206,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
